"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","328","929","178","27","45","Dextral"
"2","222","923","176","27","15","Sinistral"
"3","547","919","75","21","254","Dextral"
"4","135","868","160","27","259","Sinistral"
"5","731","858","130","25","260","Dextral"
"6","516","826","141","26","229","Dextral"
"7","859","768","196","28","63","Sinistral"
"8","663","745","179","27","235","Dextral"
"9","631","677","67","20","354","Sinistral"
"10","365","633","75","21","239","Dextral"
"11","143","584","173","27","239","Sinistral"
"12","507","568","142","26","47","Dextral"
"13","757","546","138","25","207","Dextral"
"14","44","433","122","25","83","Dextral"
"15","151","347","123","25","230","Dextral"
"16","138","340","108","24","238","Sinistral"
"17","492","280","121","24","101","Sinistral"
"18","109","182","144","26","113","Dextral"
"19","77","145","71","20","150","Dextral"
"20","340","136","101","23","28","Sinistral"
