"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","309","942","163","27","166","Sinistral"
"2","494","935","113","24","68","Sinistral"
"3","745","922","138","25","320","Sinistral"
"4","931","856","128","25","229","Dextral"
"5","878","733","192","28","39","Sinistral"
"6","422","617","174","27","304","Sinistral"
"7","266","400","177","27","122","Dextral"
"8","534","361","81","21","212","Dextral"
"9","181","335","141","26","51","Dextral"
"10","686","328","129","25","260","Dextral"
"11","812","315","91","22","216","Sinistral"
"12","744","288","42","16","72","Dextral"
"13","187","281","80","21","99","Dextral"
"14","389","200","65","20","125","Dextral"
"15","544","165","160","27","268","Dextral"
"16","489","139","94","23","101","Sinistral"
"17","723","113","171","27","267","Sinistral"
"18","196","97","95","23","353","Sinistral"
"19","201","84","135","25","22","Sinistral"
"20","731","62","111","24","353","Sinistral"
