"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","330","929","177","27","93","Sinistral"
"2","854","918","74","21","290","Dextral"
"3","603","917","170","27","166","Dextral"
"4","239","819","208","29","156","Dextral"
"5","180","747","178","27","235","Sinistral"
"6","220","687","118","24","287","Dextral"
"7","898","614","147","26","311","Dextral"
"8","850","604","117","24","57","Sinistral"
"9","536","579","90","22","267","Dextral"
"10","826","561","148","26","143","Dextral"
"11","362","488","184","28","56","Sinistral"
"12","222","403","121","24","113","Dextral"
"13","293","342","62","19","97","Sinistral"
"14","761","270","103","23","330","Sinistral"
"15","309","209","55","18","136","Sinistral"
"16","167","206","138","25","34","Sinistral"
"17","162","179","193","28","263","Dextral"
"18","893","178","169","27","284","Sinistral"
"19","934","160","143","26","46","Sinistral"
"20","716","134","118","24","282","Dextral"
