"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","382","895","61","19","15","Dextral"
"2","143","865","106","23","141","Dextral"
"3","441","809","69","20","208","Dextral"
"4","192","804","217","29","48","Dextral"
"5","875","689","158","27","328","Dextral"
"6","354","688","172","27","66","Dextral"
"7","269","530","128","25","296","Dextral"
"8","591","520","130","25","351","Dextral"
"9","358","430","222","29","171","Dextral"
"10","924","411","55","18","282","Dextral"
"11","435","406","136","25","292","Sinistral"
"12","630","349","134","25","152","Sinistral"
"13","306","294","110","24","220","Dextral"
"14","475","173","178","27","153","Sinistral"
"15","871","168","93","22","282","Sinistral"
"16","204","161","172","27","150","Sinistral"
"17","263","152","106","23","31","Sinistral"
"18","606","150","192","28","54","Sinistral"
"19","505","130","172","27","128","Dextral"
"20","521","98","154","26","131","Sinistral"
