"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","456","837","126","25","169","Dextral"
"2","658","829","152","26","230","Sinistral"
"3","635","795","194","28","29","Sinistral"
"4","225","788","131","25","28","Sinistral"
"5","880","752","112","24","320","Sinistral"
"6","684","680","108","24","21","Sinistral"
"7","720","656","111","24","167","Sinistral"
"8","419","464","79","21","145","Sinistral"
"9","941","416","51","18","114","Sinistral"
"10","500","388","149","26","80","Sinistral"
"11","808","327","218","29","327","Sinistral"
"12","477","315","146","26","230","Dextral"
"13","284","279","59","19","230","Sinistral"
"14","851","187","123","25","133","Dextral"
"15","506","176","173","27","170","Dextral"
"16","714","162","145","26","15","Dextral"
"17","855","135","175","27","22","Sinistral"
"18","683","113","101","23","91","Dextral"
"19","758","81","86","22","35","Sinistral"
"20","617","74","141","26","133","Sinistral"
