"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","380","935","98","23","206","Sinistral"
"2","330","855","107","24","71","Dextral"
"3","841","840","169","27","33","Sinistral"
"4","57","828","104","23","61","Dextral"
"5","459","817","154","26","240","Sinistral"
"6","121","770","185","28","323","Dextral"
"7","357","660","140","26","267","Sinistral"
"8","559","643","101","23","245","Dextral"
"9","133","532","74","21","111","Sinistral"
"10","839","514","130","25","132","Sinistral"
"11","567","481","99","23","22","Sinistral"
"12","474","451","166","27","228","Dextral"
"13","414","426","150","26","15","Sinistral"
"14","414","411","140","26","192","Sinistral"
"15","39","359","143","26","328","Sinistral"
"16","392","311","167","27","337","Dextral"
"17","863","288","162","27","259","Sinistral"
"18","939","214","88","22","80","Sinistral"
"19","352","178","100","23","287","Dextral"
"20","753","40","124","25","3","Sinistral"
