"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","373","925","73","21","199","Dextral"
"2","798","919","154","26","285","Sinistral"
"3","139","689","117","24","317","Dextral"
"4","581","642","59","19","96","Sinistral"
"5","573","618","88","22","191","Dextral"
"6","839","599","114","24","257","Sinistral"
"7","485","521","131","25","129","Sinistral"
"8","349","429","73","21","339","Dextral"
"9","373","391","215","29","235","Dextral"
"10","838","380","96","23","131","Dextral"
"11","813","355","198","28","237","Sinistral"
"12","246","353","173","27","265","Dextral"
"13","660","304","151","26","189","Dextral"
"14","302","286","167","27","201","Sinistral"
"15","202","270","124","25","165","Dextral"
"16","581","266","148","26","216","Sinistral"
"17","695","158","118","24","164","Dextral"
"18","701","100","201","28","178","Sinistral"
"19","493","87","181","28","253","Sinistral"
"20","358","34","170","27","197","Dextral"
