"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","845","949","105","23","310","Sinistral"
"2","595","857","155","26","253","Sinistral"
"3","378","835","89","22","220","Sinistral"
"4","636","833","134","25","273","Dextral"
"5","542","780","93","22","165","Sinistral"
"6","216","714","122","25","92","Sinistral"
"7","765","544","124","25","192","Dextral"
"8","932","487","151","26","243","Sinistral"
"9","54","427","127","25","141","Sinistral"
"10","524","413","124","25","313","Sinistral"
"11","58","402","156","26","204","Dextral"
"12","474","395","142","26","135","Dextral"
"13","675","348","85","22","172","Sinistral"
"14","590","310","215","29","329","Sinistral"
"15","77","305","64","20","251","Sinistral"
"16","28","288","112","24","237","Dextral"
"17","556","99","133","25","180","Sinistral"
"18","948","36","139","26","44","Dextral"
"19","741","27","96","23","1","Sinistral"
"20","274","25","153","26","291","Dextral"
