"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","42","923","182","28","330","Sinistral"
"2","703","893","158","26","99","Dextral"
"3","130","887","137","25","28","Dextral"
"4","734","883","90","22","122","Sinistral"
"5","600","856","140","26","313","Dextral"
"6","436","794","188","28","278","Dextral"
"7","728","779","160","27","255","Sinistral"
"8","59","748","171","27","84","Sinistral"
"9","541","718","154","26","224","Dextral"
"10","33","716","138","25","110","Sinistral"
"11","590","650","171","27","50","Sinistral"
"12","124","509","181","28","340","Sinistral"
"13","861","481","169","27","319","Sinistral"
"14","729","379","167","27","51","Sinistral"
"15","453","363","135","25","316","Dextral"
"16","397","268","153","26","28","Dextral"
"17","50","212","95","23","2","Sinistral"
"18","597","172","152","26","312","Dextral"
"19","584","104","100","23","56","Dextral"
"20","627","76","133","25","351","Sinistral"
