"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","567","935","248","30","192","Dextral"
"2","492","921","148","26","6","Sinistral"
"3","226","917","97","23","113","Sinistral"
"4","202","888","173","27","127","Dextral"
"5","462","879","139","26","278","Dextral"
"6","80","749","157","26","193","Dextral"
"7","345","676","110","24","167","Dextral"
"8","684","571","156","26","256","Dextral"
"9","268","568","138","25","200","Sinistral"
"10","497","554","194","28","74","Dextral"
"11","823","511","140","26","16","Dextral"
"12","856","498","197","28","105","Dextral"
"13","910","452","152","26","193","Sinistral"
"14","193","397","92","22","28","Sinistral"
"15","583","385","132","25","26","Dextral"
"16","630","302","161","27","0","Dextral"
"17","889","241","53","18","317","Dextral"
"18","141","177","116","24","226","Dextral"
"19","828","141","108","24","28","Sinistral"
"20","852","71","103","23","135","Sinistral"
