"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","793","947","124","25","98","Sinistral"
"2","552","861","77","21","222","Sinistral"
"3","310","803","174","27","72","Dextral"
"4","825","731","69","20","54","Sinistral"
"5","370","719","192","28","55","Sinistral"
"6","272","714","173","27","196","Dextral"
"7","101","569","135","25","72","Sinistral"
"8","162","532","133","25","96","Dextral"
"9","860","487","131","25","115","Sinistral"
"10","572","444","133","25","162","Dextral"
"11","921","434","93","22","59","Sinistral"
"12","568","343","150","26","211","Dextral"
"13","100","341","70","20","319","Sinistral"
"14","435","284","121","24","298","Dextral"
"15","629","198","98","23","166","Sinistral"
"16","164","193","192","28","327","Dextral"
"17","473","185","38","16","54","Dextral"
"18","371","163","116","24","40","Sinistral"
"19","699","144","145","26","340","Dextral"
"20","329","108","150","26","148","Sinistral"
