"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","177","932","87","22","343","Sinistral"
"2","796","811","111","24","238","Sinistral"
"3","758","803","102","23","7","Dextral"
"4","269","794","130","25","127","Dextral"
"5","919","793","206","29","73","Sinistral"
"6","839","786","95","23","183","Dextral"
"7","503","711","29","14","222","Sinistral"
"8","153","707","60","19","45","Dextral"
"9","703","585","149","26","196","Dextral"
"10","933","541","60","19","189","Dextral"
"11","37","517","136","25","23","Sinistral"
"12","524","412","207","29","237","Sinistral"
"13","118","302","152","26","260","Sinistral"
"14","715","295","114","24","20","Sinistral"
"15","710","266","212","29","305","Dextral"
"16","937","254","98","23","357","Sinistral"
"17","368","152","166","27","137","Dextral"
"18","722","120","104","23","111","Sinistral"
"19","697","73","117","24","141","Sinistral"
"20","926","25","120","24","91","Dextral"
