"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","926","925","63","19","235","Sinistral"
"2","527","924","73","21","99","Sinistral"
"3","796","843","191","28","262","Sinistral"
"4","564","795","115","24","113","Sinistral"
"5","569","690","155","26","135","Sinistral"
"6","848","638","141","26","78","Sinistral"
"7","671","614","196","28","340","Dextral"
"8","47","612","188","28","333","Dextral"
"9","161","588","173","27","15","Dextral"
"10","421","564","149","26","9","Dextral"
"11","808","548","108","24","198","Sinistral"
"12","107","497","138","25","175","Dextral"
"13","303","483","104","23","180","Dextral"
"14","615","390","51","18","318","Sinistral"
"15","398","384","133","25","331","Sinistral"
"16","818","135","172","27","92","Dextral"
"17","311","117","161","27","9","Dextral"
"18","482","36","213","29","212","Dextral"
"19","550","31","240","30","227","Sinistral"
"20","91","31","174","27","78","Sinistral"
