"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","934","739","89","22","256","Sinistral"
"2","599","719","70","20","156","Sinistral"
"3","742","656","174","27","224","Sinistral"
"4","239","602","84","22","298","Sinistral"
"5","151","590","156","26","258","Dextral"
"6","88","578","61","19","250","Dextral"
"7","812","392","112","24","312","Sinistral"
"8","539","332","148","26","224","Sinistral"
"9","539","308","188","28","9","Sinistral"
"10","843","308","61","19","37","Dextral"
"11","404","261","116","24","279","Dextral"
"12","639","255","196","28","141","Dextral"
"13","101","189","127","25","207","Dextral"
"14","570","167","108","24","84","Sinistral"
"15","57","154","151","26","255","Dextral"
"16","464","110","71","20","237","Sinistral"
"17","49","79","156","26","78","Sinistral"
"18","526","37","169","27","167","Dextral"
"19","571","30","159","27","309","Dextral"
"20","500","27","102","23","149","Sinistral"
