"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","386","946","22","11","67","Sinistral"
"2","475","931","165","27","62","Sinistral"
"3","553","925","152","26","219","Sinistral"
"4","681","854","72","21","281","Sinistral"
"5","276","787","85","22","264","Sinistral"
"6","824","769","254","30","137","Dextral"
"7","940","728","123","25","131","Dextral"
"8","560","723","97","23","88","Sinistral"
"9","658","701","111","24","65","Sinistral"
"10","599","503","172","27","180","Dextral"
"11","867","476","161","27","81","Dextral"
"12","80","421","192","28","263","Sinistral"
"13","372","410","196","28","259","Dextral"
"14","536","345","167","27","128","Dextral"
"15","455","338","101","23","99","Dextral"
"16","243","320","127","25","85","Sinistral"
"17","184","208","139","26","99","Sinistral"
"18","541","184","102","23","204","Dextral"
"19","534","103","92","22","192","Sinistral"
"20","943","52","150","26","194","Dextral"
