"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","683","829","116","24","170","Sinistral"
"2","453","799","155","26","5","Sinistral"
"3","230","781","134","25","153","Dextral"
"4","439","742","89","22","240","Sinistral"
"5","580","732","51","18","46","Sinistral"
"6","251","715","119","24","334","Dextral"
"7","288","687","138","25","232","Sinistral"
"8","893","676","110","24","292","Sinistral"
"9","316","655","191","28","313","Sinistral"
"10","174","605","109","24","139","Dextral"
"11","658","520","182","28","358","Dextral"
"12","834","512","204","28","189","Dextral"
"13","721","485","152","26","335","Sinistral"
"14","934","354","141","26","17","Dextral"
"15","186","296","81","21","267","Dextral"
"16","235","252","43","17","204","Dextral"
"17","168","164","189","28","344","Dextral"
"18","162","143","109","24","61","Dextral"
"19","295","143","121","24","20","Sinistral"
"20","911","40","93","22","199","Sinistral"
