"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","699","943","112","24","261","Sinistral"
"2","648","937","244","30","290","Dextral"
"3","103","868","215","29","6","Dextral"
"4","204","760","179","27","354","Dextral"
"5","163","738","58","19","86","Dextral"
"6","708","734","182","28","22","Dextral"
"7","936","668","93","22","296","Sinistral"
"8","460","572","120","24","274","Sinistral"
"9","633","543","147","26","239","Sinistral"
"10","30","401","152","26","311","Sinistral"
"11","553","291","101","23","290","Dextral"
"12","742","270","157","26","189","Sinistral"
"13","149","265","180","27","144","Sinistral"
"14","283","263","184","28","254","Dextral"
"15","690","228","129","25","3","Sinistral"
"16","200","192","135","25","6","Sinistral"
"17","911","189","148","26","187","Sinistral"
"18","691","164","180","27","159","Sinistral"
"19","653","147","154","26","13","Sinistral"
"20","606","59","90","22","21","Sinistral"
