"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","242","937","214","29","35","Sinistral"
"2","238","925","113","24","112","Sinistral"
"3","264","925","94","23","198","Dextral"
"4","451","919","166","27","70","Sinistral"
"5","280","905","69","20","108","Dextral"
"6","79","849","110","24","27","Sinistral"
"7","710","845","149","26","350","Sinistral"
"8","539","783","136","25","109","Dextral"
"9","189","716","140","26","209","Dextral"
"10","152","702","144","26","123","Dextral"
"11","901","655","226","29","162","Sinistral"
"12","873","594","198","28","118","Dextral"
"13","486","478","100","23","339","Sinistral"
"14","566","466","73","21","91","Dextral"
"15","63","457","68","20","78","Dextral"
"16","402","452","149","26","198","Dextral"
"17","244","301","207","29","215","Dextral"
"18","841","152","157","26","315","Sinistral"
"19","897","146","166","27","195","Sinistral"
"20","652","122","40","16","210","Sinistral"
