"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","640","913","142","26","46","Sinistral"
"2","904","908","141","26","324","Dextral"
"3","941","877","131","25","336","Sinistral"
"4","560","833","136","25","343","Dextral"
"5","117","810","149","26","145","Dextral"
"6","872","712","122","25","154","Dextral"
"7","559","695","180","28","358","Dextral"
"8","484","685","141","26","173","Sinistral"
"9","929","678","130","25","144","Dextral"
"10","105","659","174","27","262","Sinistral"
"11","90","640","160","27","58","Dextral"
"12","309","607","145","26","113","Sinistral"
"13","387","479","149","26","10","Dextral"
"14","29","446","147","26","47","Dextral"
"15","139","437","147","26","54","Sinistral"
"16","328","378","107","24","80","Dextral"
"17","896","375","118","24","218","Dextral"
"18","634","297","70","20","319","Dextral"
"19","702","285","122","25","208","Sinistral"
"20","378","230","101","23","262","Sinistral"
