"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","531","935","98","23","181","Sinistral"
"2","530","884","113","24","19","Dextral"
"3","452","883","196","28","48","Dextral"
"4","237","876","80","21","353","Sinistral"
"5","800","868","66","20","227","Dextral"
"6","241","804","102","23","241","Dextral"
"7","197","787","213","29","320","Dextral"
"8","211","778","167","27","326","Dextral"
"9","698","766","192","28","114","Sinistral"
"10","678","733","96","23","321","Sinistral"
"11","900","697","110","24","59","Sinistral"
"12","411","610","170","27","129","Sinistral"
"13","208","596","103","23","39","Sinistral"
"14","284","578","133","25","358","Dextral"
"15","65","516","192","28","68","Dextral"
"16","549","489","93","22","16","Sinistral"
"17","779","412","109","24","26","Dextral"
"18","315","301","156","26","174","Dextral"
"19","398","271","42","16","348","Dextral"
"20","32","30","172","27","255","Dextral"
