"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","264","812","98","23","226","Dextral"
"2","897","796","216","29","205","Dextral"
"3","73","739","112","24","293","Dextral"
"4","254","713","135","25","268","Dextral"
"5","297","692","169","27","197","Sinistral"
"6","143","664","137","25","325","Sinistral"
"7","59","627","100","23","189","Dextral"
"8","884","558","138","25","341","Dextral"
"9","549","537","190","28","5","Dextral"
"10","778","421","120","24","53","Dextral"
"11","234","404","114","24","215","Dextral"
"12","796","327","40","16","305","Dextral"
"13","865","242","185","28","271","Sinistral"
"14","625","207","134","25","267","Dextral"
"15","471","183","115","24","54","Dextral"
"16","270","182","96","23","70","Sinistral"
"17","691","175","199","28","253","Dextral"
"18","782","158","81","21","256","Dextral"
"19","844","142","126","25","181","Dextral"
"20","934","138","204","28","39","Dextral"
