"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","519","908","192","28","286","Dextral"
"2","754","768","208","29","99","Dextral"
"3","537","768","112","24","139","Dextral"
"4","773","739","18","10","84","Sinistral"
"5","696","696","213","29","41","Sinistral"
"6","404","633","103","23","207","Sinistral"
"7","602","468","169","27","96","Dextral"
"8","454","414","190","28","149","Dextral"
"9","614","360","102","23","263","Sinistral"
"10","183","345","200","28","233","Sinistral"
"11","640","337","124","25","78","Sinistral"
"12","270","291","108","24","152","Sinistral"
"13","656","278","156","26","67","Sinistral"
"14","461","275","133","25","211","Sinistral"
"15","705","182","186","28","183","Sinistral"
"16","233","162","172","27","27","Sinistral"
"17","696","126","122","24","158","Sinistral"
"18","238","105","124","25","345","Dextral"
"19","713","104","126","25","354","Dextral"
"20","516","57","101","23","213","Dextral"
