"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","448","939","196","28","214","Sinistral"
"2","49","889","76","21","119","Sinistral"
"3","561","873","89","22","33","Dextral"
"4","687","871","141","26","190","Dextral"
"5","505","770","78","21","344","Dextral"
"6","463","672","67","20","139","Dextral"
"7","176","606","144","26","21","Dextral"
"8","269","516","85","22","64","Dextral"
"9","264","495","110","24","154","Sinistral"
"10","88","483","88","22","133","Dextral"
"11","498","476","91","22","310","Sinistral"
"12","437","454","131","25","74","Dextral"
"13","860","442","44","17","256","Dextral"
"14","502","392","84","22","266","Sinistral"
"15","783","377","96","23","3","Dextral"
"16","416","269","161","27","332","Sinistral"
"17","370","210","111","24","54","Sinistral"
"18","112","188","108","24","324","Dextral"
"19","568","157","226","29","184","Dextral"
"20","535","127","237","30","32","Dextral"
