"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","860","948","265","30","223","Sinistral"
"2","193","943","101","23","295","Dextral"
"3","916","891","127","25","332","Dextral"
"4","122","817","136","25","312","Dextral"
"5","622","796","126","25","19","Sinistral"
"6","823","757","121","24","61","Dextral"
"7","753","646","81","21","303","Sinistral"
"8","923","405","166","27","126","Sinistral"
"9","102","398","134","25","315","Dextral"
"10","104","381","157","26","256","Sinistral"
"11","587","259","192","28","328","Dextral"
"12","668","246","54","18","331","Dextral"
"13","669","227","173","27","147","Sinistral"
"14","784","200","172","27","203","Sinistral"
"15","519","185","118","24","34","Sinistral"
"16","437","144","144","26","105","Sinistral"
"17","539","130","121","24","290","Sinistral"
"18","402","124","66","20","82","Sinistral"
"19","108","107","102","23","139","Sinistral"
"20","119","86","167","27","158","Sinistral"
