"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","151","911","84","22","201","Sinistral"
"2","490","903","202","28","117","Sinistral"
"3","669","900","137","25","301","Dextral"
"4","555","847","115","24","71","Dextral"
"5","205","821","145","26","300","Sinistral"
"6","889","764","89","22","198","Sinistral"
"7","868","741","113","24","120","Sinistral"
"8","823","733","149","26","265","Dextral"
"9","325","682","151","26","328","Sinistral"
"10","410","667","122","25","21","Dextral"
"11","747","642","131","25","189","Dextral"
"12","456","612","96","23","37","Dextral"
"13","60","544","154","26","96","Dextral"
"14","601","425","183","28","283","Dextral"
"15","258","402","123","25","254","Dextral"
"16","402","375","168","27","137","Dextral"
"17","456","326","101","23","240","Dextral"
"18","65","285","132","25","82","Sinistral"
"19","265","73","128","25","306","Sinistral"
"20","523","34","132","25","334","Dextral"
