"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","52","942","143","26","95","Sinistral"
"2","39","934","163","27","78","Dextral"
"3","903","871","215","29","249","Sinistral"
"4","884","739","192","28","167","Dextral"
"5","119","703","97","23","278","Sinistral"
"6","478","653","191","28","189","Sinistral"
"7","85","557","120","24","171","Dextral"
"8","133","509","149","26","5","Sinistral"
"9","729","488","97","23","173","Sinistral"
"10","789","454","180","27","207","Dextral"
"11","758","447","106","23","225","Sinistral"
"12","219","443","201","28","125","Dextral"
"13","569","396","41","16","126","Sinistral"
"14","565","379","139","26","35","Sinistral"
"15","92","337","134","25","341","Dextral"
"16","593","155","57","19","242","Dextral"
"17","98","153","156","26","76","Sinistral"
"18","349","110","118","24","20","Sinistral"
"19","571","108","157","26","304","Dextral"
"20","880","89","95","23","109","Dextral"
