"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","667","922","80","21","300","Sinistral"
"2","390","919","124","25","160","Dextral"
"3","127","917","102","23","3","Sinistral"
"4","681","911","102","23","229","Sinistral"
"5","96","861","104","23","345","Sinistral"
"6","245","749","118","24","177","Sinistral"
"7","415","601","122","25","166","Sinistral"
"8","195","580","63","20","151","Dextral"
"9","807","514","182","28","261","Dextral"
"10","300","505","119","24","168","Dextral"
"11","567","452","62","19","127","Dextral"
"12","544","281","169","27","150","Dextral"
"13","538","278","182","28","288","Dextral"
"14","360","167","80","21","317","Sinistral"
"15","248","166","62","19","323","Dextral"
"16","172","115","124","25","184","Dextral"
"17","800","94","51","18","83","Sinistral"
"18","799","83","111","24","122","Sinistral"
"19","785","68","216","29","174","Dextral"
"20","231","58","80","21","174","Dextral"
