"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","232","919","76","21","352","Dextral"
"2","530","906","121","24","309","Sinistral"
"3","269","870","164","27","90","Dextral"
"4","467","763","103","23","68","Dextral"
"5","733","680","163","27","127","Sinistral"
"6","148","672","63","20","331","Dextral"
"7","388","655","53","18","160","Sinistral"
"8","196","490","66","20","53","Dextral"
"9","48","425","73","21","106","Sinistral"
"10","755","334","188","28","26","Dextral"
"11","768","319","221","29","189","Dextral"
"12","740","278","69","20","306","Dextral"
"13","858","267","78","21","56","Sinistral"
"14","236","258","144","26","302","Dextral"
"15","522","240","85","22","219","Sinistral"
"16","357","164","158","27","306","Dextral"
"17","695","159","175","27","109","Sinistral"
"18","920","107","188","28","291","Dextral"
"19","277","96","140","26","184","Dextral"
"20","179","26","183","28","276","Sinistral"
