"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","235","859","150","26","250","Dextral"
"2","243","840","142","26","312","Sinistral"
"3","186","788","181","28","5","Sinistral"
"4","471","754","149","26","277","Sinistral"
"5","873","743","64","20","230","Sinistral"
"6","352","741","87","22","48","Dextral"
"7","314","712","94","23","228","Dextral"
"8","593","697","146","26","179","Dextral"
"9","190","679","44","17","256","Sinistral"
"10","839","608","98","23","306","Dextral"
"11","853","473","81","21","41","Dextral"
"12","157","341","173","27","108","Sinistral"
"13","738","331","89","22","320","Dextral"
"14","198","272","170","27","102","Sinistral"
"15","743","248","117","24","157","Sinistral"
"16","787","196","162","27","303","Sinistral"
"17","633","159","182","28","65","Sinistral"
"18","565","137","138","25","36","Sinistral"
"19","840","112","122","25","25","Sinistral"
"20","360","74","52","18","38","Sinistral"
